2000,0,0,Blue
2000,1,0,Blue
2000,1,0,Blue
2000,0,1,Blue
2000,0,1,Blue
2000,0,0,Blue
2000,1,0,Blue
2000,2,0,Blue
4000,0,0,Purple
4000,0,1,Purple
4000,1,0,Purple
4000,0,0,Purple
4000,0,0,Purple
4000,1,0,Purple
4000,0,0,Purple
4000,0,0,Purple
6000,0,0,Blue
6000,0,0,Blue
6000,0,1,Blue
6000,0,1,Blue
6000,0,0,Blue
6000,0,0,Blue
6000,0,0,Blue
6000,0,1,Blue
8000,0,0,Purple
8000,0,1,Purple
8000,0,0,Purple
8000,0,0,Purple
8000,0,0,Purple
8000,0,0,Purple
8000,0,1,Purple
8000,2,1,Purple
10000,0,0,Blue
10000,0,0,Blue
10000,0,0,Blue
10000,0,0,Blue
10000,1,0,Blue
10000,0,0,Blue
10000,0,0,Blue
10000,1,0,Blue
